player_id,sleeper_id,player_name,position,team,adp,canonical_format,source,adp_source_field,retrieved_at,beatadp_player_id,fantasycalc_rank,beatadp_recorded_at,normalized_name,pos_rank
9221,9221,Jahmyr Gibbs,RB,DET,1.3,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,585,,2026-08-15,jahmyr gibbs,1
9509,9509,Bijan Robinson,RB,ATL,2.6,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,535,,2026-08-15,bijan robinson,2
7564,7564,Ja'Marr Chase,WR,CIN,3.8,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,720,,2026-08-15,ja marr chase,1
9493,9493,Puka Nacua,WR,LAR,4.1,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,177,,2026-08-15,puka nacua,2
4034,4034,Christian McCaffrey,RB,SF,5.6,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,760,,2026-08-15,christian mccaffrey,3
6813,6813,Jonathan Taylor,RB,IND,6.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,148,,2026-08-15,jonathan taylor,4
9488,9488,Jaxon Smith-Njigba,WR,SEA,7.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,2,,2026-08-15,jaxon smith njigba,3
7547,7547,Amon-Ra St. Brown,WR,DET,8.0,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,662,,2026-08-15,amon ra st brown,4
8138,8138,James Cook,RB,BUF,8.3,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,435,,2026-08-15,james cook,5
6786,6786,CeeDee Lamb,WR,DAL,10.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,774,,2026-08-15,ceedee lamb,5
6794,6794,Justin Jefferson,WR,MIN,11.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,324,,2026-08-15,justin jefferson,6
12527,12527,Ashton Jeanty,RB,LV,12.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,43,,2026-08-15,ashton jeanty,6
4866,4866,Saquon Barkley,RB,PHI,13.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,321,,2026-08-15,saquon barkley,7
9226,9226,De'Von Achane,RB,MIA,14.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,614,,2026-08-15,de von achane,8
12507,12507,Omarion Hampton,RB,LAC,15.6,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,766,,2026-08-15,omarion hampton,9
9224,9224,Chase Brown,RB,CIN,16.1,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,630,,2026-08-15,chase brown,10
3198,3198,Derrick Henry,RB,BAL,17.1,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,235,,2026-08-15,derrick henry,11
8112,8112,Drake London,WR,ATL,19.9,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,797,,2026-08-15,drake london,7
5859,5859,A.J. Brown,WR,NE,20.7,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,628,,2026-08-15,a j brown,8
11604,11604,Brock Bowers,TE,LV,21.6,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,849,,2026-08-15,brock bowers,1
8130,8130,Trey McBride,TE,ARI,22.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,265,,2026-08-15,trey mcbride,2
4984,4984,Josh Allen,QB,BUF,23.1,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,431,,2026-08-15,josh allen,1
7569,7569,Nico Collins,WR,HOU,24.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,416,,2026-08-15,nico collins,9
13287,13287,Jeremiyah Love,RB,ARI,25.3,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,940,,2026-08-15,jeremiyah love,12
8150,8150,Kyren Williams,RB,LAR,26.4,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,275,,2026-08-15,kyren williams,13
8137,8137,George Pickens,WR,DAL,26.7,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,154,,2026-08-15,george pickens,10
10229,10229,Rashee Rice,WR,KC,28.8,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,631,,2026-08-15,rashee rice,11
5850,5850,Josh Jacobs,RB,GB,29.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,44,,2026-08-15,josh jacobs,14
8155,8155,Breece Hall,RB,NYJ,30.3,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,138,,2026-08-15,breece hall,15
8144,8144,Chris Olave,WR,NO,31.4,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,216,,2026-08-15,chris olave,12
11632,11632,Malik Nabers,WR,NYG,32.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,557,,2026-08-15,malik nabers,13
7588,7588,Javonte Williams,RB,DAL,33.9,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,357,,2026-08-15,javonte williams,16
12526,12526,Tetairoa McMillan,WR,CAR,34.9,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,698,,2026-08-15,tetairoa mcmillan,14
7525,7525,DeVonta Smith,WR,PHI,35.0,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,689,,2026-08-15,devonta smith,15
4881,4881,Lamar Jackson,QB,BAL,35.7,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,185,,2026-08-15,lamar jackson,2
6801,6801,Tee Higgins,WR,CIN,37.7,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,428,,2026-08-15,tee higgins,16
12481,12481,Cam Skattebo,RB,NYG,38.0,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,712,,2026-08-15,cam skattebo,17
12514,12514,Emeka Egbuka,WR,TB,39.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,170,,2026-08-15,emeka egbuka,17
