player_id,sleeper_id,player_name,position,team,adp,canonical_format,source,adp_source_field,retrieved_at,beatadp_player_id,fantasycalc_rank,beatadp_recorded_at,normalized_name,pos_rank
5870,5870,Daniel Jones,QB,IND,207.0,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,422,,2026-08-15,daniel jones,26
11610,11610,Malik Washington,WR,MIA,208.0,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,240,,2026-08-15,malik washington,63
3321,3321,Tyreek Hill,WR,,210.8,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,396,,2026-08-15,tyreek hill,64
10213,10213,Tre Tucker,WR,LV,211.5,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,57,,2026-08-15,tre tucker,65
12476,12476,Devin Neal,RB,NO,211.9,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,711,,2026-08-15,devin neal,51
12487,12487,Terrance Ferguson,TE,LAR,212.2,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,747,,2026-08-15,terrance ferguson,22
7528,7528,Najee Harris,RB,,212.3,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,308,,2026-08-15,najee harris,52
12536,12536,Jaylin Noel,WR,HOU,213.7,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,404,,2026-08-15,jaylin noel,66
4033,4033,David Njoku,TE,LAC,214.5,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,305,,2026-08-15,david njoku,23
12535,12535,Isaac TeSlaa,WR,DET,215.6,1qb_ppr,BeatADP Sleeper ADP,SLEEPER|PPR|REDRAFT|1QB,2026-08-19T05:18:32.889143+00:00,247,,2026-08-15,isaac teslaa,67
