player_id,sleeper_id,player_name,position,team,adp,overall_rank,position_rank_market,canonical_format,source,adp_source_field,retrieved_at,normalized_name,pos_rank
4984,4984,Josh Allen,QB,BUF,1.0,1.0,1.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694552+00:00,josh allen,1
9221,9221,Jahmyr Gibbs,RB,DET,2.0,2.0,1.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694562+00:00,jahmyr gibbs,1
9509,9509,Bijan Robinson,RB,ATL,3.0,3.0,2.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694565+00:00,bijan robinson,2
7564,7564,Ja'Marr Chase,WR,CIN,4.0,4.0,1.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694567+00:00,ja marr chase,1
4881,4881,Lamar Jackson,QB,BAL,5.0,5.0,2.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694569+00:00,lamar jackson,2
9493,9493,Puka Nacua,WR,LAR,6.0,6.0,2.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694571+00:00,puka nacua,2
9488,9488,Jaxon Smith-Njigba,WR,SEA,7.0,7.0,3.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694573+00:00,jaxon smith njigba,3
11564,11564,Drake Maye,QB,NE,8.0,8.0,3.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694575+00:00,drake maye,3
6770,6770,Joe Burrow,QB,CIN,9.0,9.0,4.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694577+00:00,joe burrow,4
7547,7547,Amon-Ra St. Brown,WR,DET,10.0,10.0,4.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694579+00:00,amon ra st brown,4
4034,4034,Christian McCaffrey,RB,SF,11.0,11.0,3.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694581+00:00,christian mccaffrey,3
6813,6813,Jonathan Taylor,RB,IND,12.0,12.0,4.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694583+00:00,jonathan taylor,4
11560,11560,Caleb Williams,QB,CHI,13.0,13.0,5.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694585+00:00,caleb williams,5
6786,6786,CeeDee Lamb,WR,DAL,14.0,14.0,5.0,sf_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.694586+00:00,ceedee lamb,5
